Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Flux,SCF #22,Flux,Flux,Applications,https://communityfund.stellar.org/dashboard/submissions/recKRR940Gb200ZlO,Awarded,,SCF Legacy Award,$38000.00,$38000.00,318791.9,12/18/2023,Legacy v5.0 Activation Award,Crypto and fiat app built for everyday local and international payments&nbsp;,,,,https://iflux.app,,,,,,,,,Ben Lucky Eluan,,https://www.linkedin.com/company/iflux-pay/,https://twitter.com/ifluxdotapp?lang=en,,
TrustedPlastic,SCF #22,TrustedPlastic,TrustedPlastic,Applications,https://communityfund.stellar.org/dashboard/submissions/recdFUWjyYR7VoqYC,Awarded,,SCF Legacy Award,$49800.00,$49800.00,414206.1,12/19/2023,Legacy v5.0 Activation Award,Enabling plastic waste collection through introducing transparency.,,,,recyclable.credit,,,,,,,,,Alexey Amyotov,,,,,
Anticipatory Aid on Soroban,SCF #22,Anticipatory Aid on Soroban,Anticipatory Aid on Soroban,Applications,https://communityfund.stellar.org/dashboard/submissions/recVeAOrdY2HNMbY3,Awarded,,SCF Legacy Award,$50000.00,$50000.00,415869.6,12/19/2023,Legacy v5.0 Activation Award,Building a Coala Pay smart contract for aid funding on Soroban.,,,,coalapay.org,,,,,,,,,Melyn McKay,,,,,
TYPIQO,SCF #22,TYPIQO,TYPIQO,Applications,https://communityfund.stellar.org/dashboard/submissions/rech7PySqXaETT3Rl,Awarded,,SCF Legacy Award,$84400.00,$84400.00,721984.6,1/5/2024,Legacy v5.0 Community Award,A Blockchain based B2B Marketplace connecting local food producers with local Chefs using Stellar for supply chain traceability,,,,https://www.test-hub.typiqo.it/,,,,,,,,,Alessandro Badalamenti,,,,,
Stellar Light,SCF #22,Stellar Light,Stellar Light,Applications,https://communityfund.stellar.org/dashboard/submissions/recvrlsJ7CvVR5aLv,Awarded,,SCF Legacy Award,$13000.00,$13000.00,113220.69,1/10/2024,Legacy v5.0 Activation Award,"Explore and Navigate dApps, Tools, Stablecoins, DAOs, Wallets, NFTs  & more built on Soroban.",,,,,,,,,,,,,Shubh Brar,,,,,
Estrela,SCF #22,Estrela,Estrela,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/rec4bVlu0r3K0SEzo,Awarded,,SCF Legacy Award,$48000.00,$48000.00,384985.6,12/14/2023,Legacy v5.0 Activation Award,Estrela is a decentralized platform for efficient low-slippage stablecoin swaps ,,,,https://allbridge.io/,https://github.com/allbridge-io,,,,,,,,Pavlo Velykyi,,,,https://discord.com/invite/ASuPY8d3E6,
Catalyst Blockchain Manager,SCF #22,Catalyst Blockchain Manager,Catalyst Blockchain Manager,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recNpbO0bjz8Gs5DO,Awarded,,Legacy Award v4.0 (90%),$91800.00,$91800.00,819079.74,1/25/2024,Legacy v5.0 Community Award,EcoXChange is a multifunction white-labeled platform marketplace to support manufacturing companies reduce their carbon footprint.,"We will leverage the IntellectEU Catalyst Blockchain Manager to allow both technical and non-technical users to configure & deploy various elements of the Stellar network, including validator nodes & Horizon API server instances, via an intuitive UI. Additionally, developers would be able to deploy their Soroban smart contracts on Futurenet & Production networks using the same UI. It would vastly simplify the deployment & management of Stellar network elements & Soroban contracts. The users will have the option of deploying network elements in SaaS mode (managed by IntellectEU) on popular cloud providers as well as on-premise. Users would be able to deploy & manage their custom applications (front-end & back-end) using the UI. The Catalyst - Stellar application would represent Kubernetes Native class of applications. It will be specifically designed to run on Kubernetes platforms, using and extending the functionalities of the Kubernetes API and components to facilitate Stellar infrastructure management. Catalyst's existing CI/CD processes would be reused and extended to support the deployments.

The EcoXChange Application would be based on the Stellar blockchain and allow enterprises to manage their carbon emissions, carbon offsets, and carbon credits. The enterprise would have regulated tokens/assets issued on Stellar that could be traded within the enterprise as well as on the secondary market. The application would allow the creation of accounts on the Stellar network, establish trustlines, issue & distribute tokens/assets, maintain carbon emissions for manufacturing outcomes, and allow the trading of tokens/assets. The issuance, trade (via buy/sell offers), and other features will be built and executed via custom Soroban contracts that the enterprise can upload using the Catalyst UI. In addition, the enterprise will deploy one or more Stellar nodes to increase network health and decentralization, as well as Horizon API server instances for reliability. The application's front end and back end will be deployed using Catalyst as well.",,,https://www.catalyst.intellecteu.com,,https://youtu.be/pMpZbbcxwcA,,,,,,,"Jonathan Mayeur, Oleksandr Yamkoviy",,https://www.linkedin.com/uas/login?session_redirect=%2Fshowcase%2F73072309,,,
Soracle.org (Posted),SCF #22,Posted,Soracle.org (Posted),Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recAJUif7d6m2q3J3,Awarded,,SCF Legacy Award,$24000.00,$24000.00,201342.3,12/18/2023,Legacy v5.0 Activation Award,Social media oracles in Soroban for dapp developers and content creators.,,,,https://posted.app,,,,,,,,,"Brian, Caspar, Ukkashah Quadri",,,,,
Ortege AI,SCF #22,Ortege AI,Ortege AI,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recJwxwdJWnSRqsDR,Awarded,,SCF Legacy Award,$40000.00,$40000.00,338552.68,1/16/2024,Legacy v5.0 Activation Award,"AI-powered blockchain analytics &amp; insights for Soroban, making complex data simple and accessible.",,,,https://www.ortege.ai/,https://github.com/Ortege-xyz,,,,,,,,"Christos  Salaforis, Christos Salaforis, Christos  Salaforis",,,https://twitter.com/ortegeai,,
KYC Token & UI for RWA,SCF #22,KYC Token & UI for RWA,KYC Token & UI for RWA,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recK8gdGynSRyEhc5,Awarded,,SCF Legacy Award,$45000.00,$45000.00,384944.39,1/5/2024,Legacy v5.0 Activation Award,Build a KYC token with Soroban to accelerate the adoption of Real World Assets on Stellar for Finacial Service Providers,,,,https://github.com/tigerblocks/BBF/tree/main/KYCtoken,https://github.com/tigerblocks/BBF,,,,,,,,"Adam Pluemer, Andreas Pluemer, David Paul Hosler",,,,,
Anchor Transparency Node,SCF #22,Anchor Transparency Node,Anchor Transparency Node,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recVxyQ6OUzSnT44d,Awarded,,SCF Legacy Award,$40000.00,$40000.00,320692.7,12/15/2023,Legacy v5.0 Activation Award,"Enhancing Stellar's Anchors with the T Node: Secure, verifiable, and transparent off-chain Payment Rails data verified on-chain.",,,,https://www.usher.so,,,,,,,,,Ryan Soury,,https://www.linkedin.com/company/usherlabs/,https://twitter.com/usher_web3,https://discord.com/invite/gHDPs569NR,
Stellar Rust SDK,SCF #22,Stellar RUST SDK Phase II,Stellar Rust SDK,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recnNmjVZlXtzzEwc,Awarded,,SCF Legacy Award,$48000.00,$48000.00,397350.99,1/3/2024,Legacy v5.0 Community Award,"Expanding our Rust SDK for Stellar Horizon: Next phase involves adding more endpoints, advancing SDK capabilities for robustness.",,,,https://github.com/Baseflow/stellar-rust-sdk,https://github.com/Baseflow/stellar-rust-sdk,,,,,,,,"Thomas Luijken, Bas Jan Lubbers",,https://www.linkedin.com/company/baseflowit,,,
SoroBuild,SCF #22,SoroBuild,SoroBuild,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/rechkIWIYMI6GZOoP,Awarded,,SCF Legacy Award,$44800.00,$44800.00,359175.8,12/15/2023,Legacy v5.0 Activation Award,Revolutionizing Dapps on Soroban with a user-friendly Bubbl.io,,,,https://adapptable.dev/,,,,,,,,,Barth Houot,,,,,
Soroban Governor,SCF #22,Soroban Governor DAO,Soroban Governor,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recB4ormy61AOrN5I,Awarded,,SCF Legacy Award,$31300.00,$31300.00,276233.34,1/22/2024,Legacy v5.0 Activation Award,"Open source, flexible, fully functional DAO smart contract framework inspired by the OpenZeppelin Governor.",,,,https://github.com/script3/soroban-governor,https://github.com/script3/soroban-governor,,,,,,,,Alex Mootz,,,,,
Flutter Wallet SDK,SCF #22,Flutter Wallet SDK,Flutter Wallet SDK,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/rec6KM9NQ4ajoMHTW,Awarded,,SCF Legacy Award,$22000.00,$22000.00,176451.7,12/14/2023,Legacy v5.0 Activation Award,"With the Flutter Wallet SDK, building a Stellar-enabled wallet or application is faster and easier than ever.",,,,https://github.com/Soneso/stellar_wallet_flutter_sdk,https://github.com/Soneso/stellar_wallet_flutter_sdk,,,,,,,,Christian Rogobete,,,,,
PHP Anchor SDK,SCF #22,PHP Anchor SDK,PHP Anchor SDK,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/rect8pQfINu8Enmqh,Awarded,,SCF Legacy Award,$36400.00,$36400.00,291830.4,12/15/2023,Legacy v5.0 Activation Award,"The PHP Anchor SDK abstracts Stellar-specific functionality for running an Anchor, allowing PHP devs to focus on business logic.",,,,https://github.com/Argo-Navis-Dev/php-anchor-sdk,https://github.com/Argo-Navis-Dev/php-anchor-sdk,,,,,,,,"Bence Nagy, Christian Rogobete",,,,,
Gecko Fuzz,SCF #22,Gecko Fuzz: Automated Fuzzing,Gecko Fuzz,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recgaYJqkY6XAjubP,Awarded,,SCF Legacy Award,$30000.00,$30000.00,249521.7,12/19/2023,Legacy v5.0 Activation Award,Gecko uses formal verification and fuzzing guided by dataflow patterns and LLMs to audit smart contracts on-chain autonomously.,,,,https://github.com/jjjutla/GeckoFuzz,https://github.com/jjjutla/GeckoFuzz,,,,,,,,Jeevan Jutla,,,,,
Chef,SCF #22,Chef,Chef,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recskJRJnsD63Lg4G,Awarded,,SCF Legacy Award,$18000.00,$18000.00,144311.7,12/15/2023,Legacy v5.0 Activation Award,Chef is a tool that helps developers set up their test environments quickly,,,,https://stellar-chef.github.io/stellar-chef,https://github.com/stellar-chef/stellar-chef,,,,,,,,"Manuel Ignacio Sisto Bandin, Orlando Cesar Sosa",,,,,
Governance Modules Library,SCF #22,Governance Modules Library,Governance Modules Library,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recX7oB3F68rVpdY1,Awarded,,SCF Legacy Award,$27000.00,$27000.00,224569.6,12/19/2023,Legacy v5.0 Activation Award,"The Governance Modules Library is a curation of new and classic modules for governance in dApps and DAOs, ready for Soroban.",,,,https://stellarcommunityfund.gitbook.io/module-library/,https://github.com/BlockScience/gov-modules-demos,,,,,,,,"Danilo Lessa Bernardineli, Kelsie Nabben, Jakob Hackel",,,https://twitter.com/block_science,,
StellarStrides,SCF #22,StellarStrides,StellarStrides,Education & Community,https://communityfund.stellar.org/dashboard/submissions/recSjtVmMF6aLUoTp,Awarded,,SCF Legacy Award,$14500.00,$14500.00,116251.1,12/15/2023,Legacy v5.0 Activation Award,Simplifying the complexities of branding and marketing in the blockchain realm to empower projects within the Stellar ecosystem,,,,https://stellarstrides.xyz,,,,,,,,,Waleska Fedora Cerpa Monrroy,,,,,
Social & Podcast,SCF #22,Social & Podcast,Social & Podcast,Education & Community,https://communityfund.stellar.org/dashboard/submissions/recRueDK3kkKGOg59,Awarded,,SCF Legacy Award,$9000.00,$9000.00,72155.85,12/15/2023,Legacy v5.0 Activation Award,"Educational content for a Spanish-speaking YouTube channel (26.5k+ subs), Spotify Podcast, newsletter and other socials.",,,,https://www.youtube.com/@RobertoSanzCriptomonedas,,,,,,,,,Roberto Garcia Sanz,,,https://twitter.com/CriptoRoberto,,
Encode Club,SCF #22,Encode Soroban/Stellar Educae,Encode Club,Education & Community,https://communityfund.stellar.org/dashboard/submissions/reckoIk9ZoZ7UbElb,Awarded,,SCF Legacy Award,$14999.00,$14999.00,120251.7,12/15/2023,Legacy v5.0 Activation Award,A four week education series to bring Encode's developers and beyond into the Stellar and Soroban ecosystem.,,,,,,,,,,,,,Anthony Beaumont,,,https://twitter.com/encodeclub,,
RAMM: Global Retail Commerce,SCF #22,RAMM: Global Retail Commerce,RAMM: Global Retail Commerce,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/rec3MBR9xIV3XOJw1,Awarded,,SCF Legacy Award,$38500.00,$38500.00,320219.6,12/19/2023,Legacy v5.0 Activation Award,"A novel DEX/AMM where brands sell direct to consumers w/out the high selling fees of Amazon/eBay, while keeping all customer data",,,,WWW.RAMM.ai,,,,,,,,,"Alan Avidan, Jamiel Sheikh, Alan Avidan",,,,,
