Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Kotani Pay,SCF #11,Kotani Pay,Kotani Pay,Applications,https://communityfund.stellar.org/dashboard/submissions/rec9ylKAGxTVT4Lex,Awarded,,SCF Legacy Award,$100000.00,$100000.00,1146920.0,12/9/2022,Legacy v3.0 Award,Stablecoin payments without the need for an Internet connection or a bank account,"Kotani Pay API

The Kotani Pay API enables businesses to convert between digital assets and fiat and receive that through local payment channels in Africa. The API provides a single codebase for business with this need. This means businesses can receive money into mobile money or bank accounts in minutes over the Stellar Blockchain through the API.

Kotani Pay SMS/USSD Wallet

The Kotani Pay non-custodial wallet enables both non-internet enabled and internet enabled devices to interact with Blockchain protocols such as Stellar. The user simply dials a short code and is able to transact on the Stellar network. With the SMS wallet, one can receive, send, withdraw and access DeFi services.

We use the Stellar blockchain to hold the digital assets on-chain. The blockchain provides holding accounts for wallet users. The user interacts with the on-chain wallet through a USSD interface. Additionally, the Stellar blockchain acts as the transfer layer for on-chain remittance, cash-transfers, cross-border and gig-work transactions. A user sends funds from their blockchain account to another user’s account via Stellar.

‍
https://uploads-ssl.webflow.com/62ea95eedf96d876cdc904ef/63581e5187243434a53046de_Kotani%20Pay%20USSD.png",,,https://www.linkedin.com/company/kotanipay/,,https://youtu.be/uk0zT0hsoj8,,,,,,,"Brian Kimotho, Brian ",,,,,
Wirecash,SCF #11,Wirecash,Wirecash,Applications,https://communityfund.stellar.org/dashboard/submissions/rectAXtdhsFXyPWfP,Awarded,,SCF Legacy Award,$100000.00,$100000.00,1146920.0,12/9/2022,Legacy v3.0 Award,"Wirecash offers virtual currency payments to suit all your needs, whether you're a small or large company, or an individual.","Online payments
Accepting online payments might be difficult and expensive with traditional methods. With Wirecash, anyone can easily accept crypto payments on their website or mobile app through our APIs and tools. You create an order and our Checkout handles everything for you. It enables accepting 20+ cryptocurrencies on different networks, including Stellar for every one of them.

In-person payments
If you have a physical store and want to accept cryptocurrency payments, but don’t have any experience with APIs or crypto; you can directly request a payment on our dashboard and your customer can access the checkout link via QR code or link.

Invoices
You can create an invoice to notify your customer about a pending payment. After entering the recipient's details, amount, and due date, the recipient gets an email with a link to the checkout page.

Merchant Tools
We’re offering a bunch of tools for merchants. A merchant can decide which currency to accept, which one to convert to a stablecoin when it is received, and can also enable auto-approval if the paid amount is lower than a specified percentage threshold and customize checkout with their own brand colors and more.

Real-time exchange
When auto-conversion is enabled, we will automatically convert your received crypto payment to a stablecoin in real-time, which can eliminate any price fluctuations that may happen in the market. For Stellar payments, we’re using Stellar DEX, and it enables us to access XLM-USDC liquidity in real time.

Bridging Assets through SEP6
By becoming an anchor, we are bringing our payment methods to the Stellar network. That means you can deposit BUSD on Binance Smart Chain and receive it on Stellar through Wirecash platform or SEP and vice versa.

CashID
We created it for receiving payments like an email. Currently it is only valid on Wirecash platform. Thanks to Stellar federation protocol, we will enable receiving payments through CashID such as yourname*w.cash on the Stellar network too.",,,https://wirecash.com,,https://www.youtube.com/watch?v=DoIYm_rbtBU,,,,,,,"Mert Gonul, Mert Gonul",,,,,
BravePay,SCF #11,BravePay: New Era of payments,BravePay,Applications,https://communityfund.stellar.org/dashboard/submissions/recTgnhXkShvxMuZb,Awarded,,SCF Legacy Award,$200000.00,$200000.00,2293841.0,12/9/2022,Legacy v3.0 Award,"BravePay makes cashless payments accessible to on and offline retailers, transforming any smartphone & website in a zero-fees POS","THE PROBLEM

Cashless payments come at the cost of local businesses. In a world where cashless payments are becoming the norm, retailers bear up to 3.5% transaction fees that go to Banks, card issuing Companies and Payment Service Providers. Cashless convenience comes at the cost of local businesses. With the boom of blockchain, more and more customers are hunger to use their digital assets to pay on and offline. But current payment solutions are not network agnostic and replicate the traditional fee-based model, coming again at retailers’ cost.

ABOUT BRAVEPAY

BravePay is a zero fees payment platform that makes cashless payments universally accessible for on and offline retailers. BravePay enables on and offline businesses to receive instant bank card or crypto payments, and safely store transaction value in USDC (Stellar). BravePay doesn't require any special hardware: it seamlessly works on any smartphone or can be integrated in any website in just a matter of minutes. BravePay also provides retailers with ""tech steroids"" to take their businesses to the next level: AI Powered age-verification, access controls, ERP, NFT tickets, crypto direct debit automation, crypto-payroll...

BRAVEPAY & STELLAR

Unleashing the power of Stellar to disrupt retail payments. Built on Stellar, BravePay leverages the speed, security and low fees of one of the most popular and efficient blockchain networks. But BravePay also gives value back to the Stellar Community: BravePay seamlessly bridges fiat and other crypto assets (BTC, LTC, ETH…) into Stellar, enhancing liquidity through retail transactions.

HOW BRAVEPAY WORKS

BravePay transforms any business into a crypto-friendly store that unites fiat and crypto payments in one place. The fundamentals of BravePay cashless payments are very simple: Customers pay cashless using their debit or credit card as usual, with any crypto wallet, with ETH, BTC, LTC…and 15+ popular assets, or with BravePay app, an iOS and Android virtual wallet that they can charge with fiat or any crypto currency. Retailers get crypto. Retailers collect those payments from any smartphone or through our web widget, converted into USDC (Stellar) straight into their BravePay enterprise account. From there, they can transfer funds to any other Stellar Address or to their verified business bank account.

BRAVEPAY WALLET

With BravePay wallet we make crypto payments simple and accessible to any consumer. Crypto can be overwhelming sometimes: Public Keys, Secret Keys, recovery phrases, trustlines, order books…are complicated concepts, even scary to new users. At Brave we are obsessed to remove all those barriers that create unnecessary consumer friction, in order to make crypto experiences as they should really be, instant and simple. Get BravePay App for iOS / Android. Wallet set up. Setting up your BravePay wallet in your smartphone just takes one minute: Download BravePay app from the Apple or Google Play store. Sign up using your email or connecting your Google or Apple Account. And go through a selfie age verification, for our AI to create your anonymous age-tag. And you will be all set! Adding funds. You can add funds to your BravePay wallet anytime, using your bankcard, ApplePay, GooglePay or with a long list of popular crypto assets such as BTC, LTC, ETH, XLM... Simply select the amount in your local currency and follow intuitive on-screen instructions for every method selected. Age Verification. BravePay also provides you with an anonymous age-ID that grants you access to content, products and services with age restrictions, without disclosing your identity nor any personal data. Simply unlock the “Activate button”, with your pin, touch or faceID, and scan the QR Code to get your instant access. Subscriptions. Straight from your BravePay wallet, you can authorize crypto direct-debit orders that will be automatically credited from your account on due date. On your customer profile, you can get all relevant information about your active subscriptions, payment history or cancel them in just one click. NFT tickets. With BravePay, you can purchase NFT tickets to get access to events, venues or value added services. Tickets can be easily accessed and managed in “My Tickets” section.

BRAVEPRO POINT OF SALE SYSTEM

Changing the paradigm in retail payments. Most payment systems require dedicated hardware, an old-fashioned approach that only benefits the service provider. BravePro transforms any smartphone or website into a Point of Sale terminal that collects fiat and crypto payments from bank cards and crypto wallets. Get BravePro App for iOS / Android. User credentials. Your Staff can log in to the Android or iOS App with just an email and the password of their choice. BravePro credentials for staff members can be easily managed by business owners at our Customer Portal. Charge amount. With BravePro you can set the amount of your store checks, like with any other conventional data phones. To authorize the payment, customers must get their contactless bank card near your staff’s smartphone or use their BravePay wallet to authorize the transaction. Charge product. Staff can also add items from your store product list and create detailed checkout tickets for your customers. Subscriptions. With BravePro, staff can set up recurring direct debit orders that are automatically credited from your customer’s BravePay wallet on a due date. Store’s subscriptions can be easily tailored to your needs in our customer’s portal and will show up automatically on your BravePro app. E-commerce integration. With BravePro web widget online stores can seamlessly integrate crypto payments and access controls in their websites.

BRAVEPRO CUSTOMER PORTAL

A professional crypto e-banking. BravePro Customer portal is a responsive web application that gives business owners full control of their finances. Conceived as a crypto e-banking service, our Customer Portal is a business solution that takes away all the complexity of blockchain. The access to BravePro Portal follows strict KYC rules to ensure total compliance with international anti money-laundering regulations. Setting up your organization. At our portal, you can create business units such as Stores or Events in just a few clicks. You can assign Teams to your business units, create roles and manage the access of your employees. With BravePro you will be fully in control of your store operations. Manage your inventory. You can also set a product list and better manage your stock and get real-time information of the best selling items of your store. Subscriptions. At BravePro Customer Portal, you can create and manage recurring direct debit orders that will show up automatically on your BravePro apps. You can tailor to your needs the parameters of your store subscriptions: set an initial payment, the frequency, amount, payment dates… NFT Tickets. Easily mint NFT tickets for your event, venue or added value services. Select the validity period, the units, select your preferred image…Unlike regular ticket, NFTs tickets can only be sold, exchanged and validated in the BravePay ecosystem. Transfer funds. From your BravePro Customer portal you can easily transfer crypto assets to any other Stellar Address or to convert them into FIAT straight to your professional Bank Account.",,,https://BravePay.net,,https://youtu.be/YT6mpMzVCPw,,,,,,,"Javier, Javier ",,,,,
SorobanPulse,SCF #11,StellarPulse,SorobanPulse,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recPl3UvHNe1nngVy,Awarded,,SCF Legacy Award,$30000.00,$30000.00,344076.0,12/9/2022,Legacy v3.0 Award,Track the development activity among different Stellar organisations on Github,"Stellar has increasingly grown the open source developer ecosystem. But there is currently no way to get an activity overview and easily track the development among different Stellar organisations on Github, understand what is their status, track the contributions made by developers and get an idea on how the repositories evolve. It is really hard to understand how the Stellar ecosystem is progressing since the data is scattered all over GitHub, with contributors, commits, issues, repositories and PRs data.

The solution that CrossChain Labs presents is going to address the problems described above and will offer clarity on the open source Stellar’s developer ecosystem. This will be done by scraping the data related to Stellar’s organisations on GitHub and exposing it in a nicely designed dashboard that allows tracking the number of commits, repositories, contributors, PRs, the top contributors of the month, the evolution of commits and active contributors for each month over the last year and monitoring the recent commits that are being done in the various Stellar organisations.

The StellarPulse project will enable the interested parties to track the development among different Stellar organisations on Github, to follow the number of commits, repositories, contributors, PRs, the top contributors of the month, the evolution of commits and active contributors for each month over the last year and monitor the recent commits that are being done in the various Stellar organisations.",,,https://drive.google.com/file/d/1xq_f68zm5wgfFC0V6OQ9Po15iHNF9qdf/view?usp=sharing,,,,,,,,,Andreea Stefan,,,,,
Horizon-as-a-Service,SCF #11,Horizon-as-a-service,Horizon-as-a-Service,Infrastructure & Services,https://communityfund.stellar.org/dashboard/submissions/recekYNQEoPjP1Did,Awarded,,SCF Legacy Award,$2500.00,$2500.00,28673.0,12/9/2022,Legacy v3.0 Award,"Give teams building on Stellar, Customized and Private Horizon server access to the Stellar Network with only the data they need","What is the product? Managed Horizon Instances

What problem does it solve? The need for access to the Stellar network tailored to the business use case of the team.

How does this solve that problem? We configure and customize the Horizon instance for what you need to know for your business case and deploy it to cloud or on-prem infrastructure solutions.

Who is the audience? Teams need access to the Stellar beyond the limits of the free Horizon instances and they just don't have the time or expertise to deploy their own infrastructure.

What are the benefits? Speed and Support. Getting Horizon instances up and running quickly for teams building on Stellar Network. Support for those Horizon instances, so teams don’t have to worry about them.

How does it work and how does it use Stellar? Horizon is the gateway to the Stellar Network and this solution is geared towards deploying those Horizon instances.",,,,,,,,,,,,Tillman Mosley,,,https://twitter.com/withobsrvr,,
AnChain.AI,SCF #11,CISO/BEI Stellar integration,AnChain.AI,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recuNwIpd0qywbkzi,Awarded,,SCF Legacy Award,$195000.00,$195000.00,2236495.0,12/9/2022,Legacy v3.0 Award,AnChain.AI is offering to onboard the Stellar blockchain into its risk management products and open them up to the ecosystem.,"BEI™ API for ecosystem monitoring: 
- Allows users to query wallet data for risk scores, sanction involvement, and other activity. Used by crypto businesses to conduct Wallet Screening and Transaction Monitoring and build with a risk-based approach, as recommended by the Financial Action Task Force (FATF).
- Built on a custom risk engine for Stellar which screens sanction and other high-risk wallets, powered by our patented AI-engine.

CISO™ Investigation Tool:
- Tool to enable compliance and security analysts to conduct onboarding and monitoring operations for compliance, and incident response events such as hacks.
- Includes “Auto-trace” to immediately identify origin of funds, and out off ramps.

Web3guard:
- Stellar community tool for reporting scams and fraud. Investigation services made available to the community.",,,https://ciso.anchainai.com/explorer,https://github.com/AnChainAI/BEI-Playground,https://youtu.be/nfbBm0-MHTY,,,,,,,"Christian Nunez, Francesco Piccoli",,https://www.linkedin.com/company/anchainai/,https://twitter.com/AnChainAI,,
sTeX,SCF #11,sTeX,sTeX,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recYsvymcjyhXY4XV,Awarded,,SCF Legacy Award,$17000.00,$17000.00,194976.0,12/12/2022,Legacy v3.0 Award,"A modern cloud LaTeX editor with a google docs alike UX and UI, and a built-in Stellar decentralised documents marketplace.","The product I am presenting is sTeX, a cloud-based LaTeX editor featuring a modern user interface, as well as a fast and efficient user experience that aims to replicate Google Docs’ one. At its core, the app will feature a decentralized marketplace for documents (including but not limited to sTeX’s) which is built upon the multisig safety of Stellar turrets.

LaTeX is a document preparation system that enables its users to write highly customizable and professional PDF documents. Rather than writing documents with formatted text, LaTeX lets you write documents in plain text, and uses markup tagging to define how the document looks like.

For example, both I and tdep#4794 use LaTeX almost on a daily basis for a variety of tasks: taking notes, product behavior design, writing whitepapers, technical writing, blogging, and working on financial instruments (for writing math).

Most LaTeX editors aren’t cloud-based and require you to install both the app and a TeX compiler as well, and the existing cloud-based LaTeX editors have room for improvement, especially in terms of user experience, interface, and sometimes speed (more on the competitors section in “additional information“). That is why I have decided to start working with tdep#4794 to build a brand-new modern LaTeX editor inspired by Google Docs.

The sTeX app will implement a decentralized marketplace at its core. Users will be able to effortlessly bring sTeX’s documents on-chain and have full control over them (sTeX’s app won’t have any signing power on your on-chain documents).

Once a document is on-chain (as a stellar account), we can officially call it a non-fungible-token (despite not being an actual stellar asset, tdep#4794 will discuss this NFT implementation later on this section). These NFTs can then be traded on a turrets-powered decentralized marketplace. The current progress in the marketplace as well as in sTeX’s “document detach” API endpoints allow to: write a LaTeX document, create that document on-chain, place a sell offer through the marketplace to sell that document at a certain price, and place a buy offer through the marketplace to buy a document at its price.

Thanks to the design of the tokenized documents, they can be edited by the owner, meaning that interesting features like proofed document management can be achieved through the marketplace. For instance, you can issue an agreement contract you wrote to other two interested parties and set that the super-majority (2/3) consensus must be reached to edit the contract (for example three signers with a weight of 10 each and a medium threshold of 20).

The market is non-custodial and decentralized, based on stellar turrets. Turrets were initially called Turing Signing Server since what they actually do is leverage multisig and let serverless workers sign a “contract’s“ transaction. This means that by using more than one turret which aren’t owned by the same entity we can achieve a certain degree of decentralization. We have chosen Turrets over Soroban for a couple of reasons: since we want to keep the document-as-account design, turrets seem like our only option given the limited access of soroban contracts to stellar “classic“ data; we don’t need the degree of decentralization that native contracts offer given the fairly simple nature of our “contract”; it will probably be much cheaper to run the contract on Turrets rather than using a soroban contract (though that’s TBD depending on how soroban’s cost model works out); our contract is on its own concurrency-safe, thus it doesn’t need such model as described here.

Overall, by using Turrets we save time and resources since Stellar already provides all the features we need for this contract.

Lastly, we also mention a possibility for an in-app freelancing mechanism supported by the marketplace, but we won’t implement for now since it would require high community participation in voting for disputes, which is currently out of scope of our app’s simple and intuitive design.

Editor Features: secure and tested authentication and authorization, real-time compiler (our editor will display changes in the pdf as you finish writing your sentences), basic features (create, edit, share, manage access), templates (in development), advanced auto-completion, vs-code alike editor, commenting (in development), multiple themes (in development).

These are the features that are currently present in our editor, but feel free to recommend any that you deem interesting or necessary which we haven’t or aren’t implementing.

In the first submission, sTeX’s goal was to directly store document content on-chain. This approach had some advantages especially in delegating authorization to Stellar validators, and mostly by also allowing non-custodial users in our app. However, tests showed that the approach held important disadvantages in terms of speed and efficiency. That is why we opted to using native storage for sTeX’s API. This does not mean that we don’t use stellar anymore at our app’s core, as a matter of fact, all our infrastructure is made of ed25519 keypairs that are ready to become stellar accounts once sTeX’s users begin creating documents on chain or start interacting with the marketplace. When documents are on-chain, sTeX still enables to modify those documents re-using the code in sTeX’s “first version“ where every update corresponds to a stellar transaction. The only difference is that now users that are only interested in writing LaTeX documents in a fast and friendly environment can do so without suffering decreased speed for something they do not need, and those interested in editing their on-chain documents can do so in a completely non-custodial way by signing transactions as they update their documents.

The above only talks about the Stellar integration in the most “traditional“ part of our codebase (create, edit and share documents), the rest is completely reliant on both Horizon and Stellar (bridge to detach documents, bridge to reattach documents, the DeFi marketplace).

You can review part of our code here, but that’s just the marketplace’s prototype contract since we don’t want to make our API public (maybe yet). What we focus on is balancing and intersecting our “traditional“ codebase with our stellar-based one, and making sure that every interaction with Horizon is non-custodial on the user’s end.

On its own sTeX doesn’t bind much with Stellar being a LaTeX cloud environment, but with the built-in marketplace users who have probably never interacted with Stellar can experience for the first time Stellar in terms of payments speed and ease of possibly making of their documents a source of income.

sTeX’s backend facilitates the process of onboarding on-chain users without storing secrets or adding our signers to the users’ accounts, allowing them to start interacting on-chain on their own and not only through our service.",,,https://stex.xycloo.com/,https://github.com/Xycloo/documents-marketplace-devenv,https://vimeo.com/751354524,,,,,,,"Federico Carlos De Ponti, Tommaso De Ponti",,,,,
Scam Flagging System,SCF #11,Scam Flagging System,Scam Flagging System,Education & Community,https://communityfund.stellar.org/dashboard/submissions/recJj84gbiQVNojVa,Awarded,,SCF Legacy Award,$10000.00,$10000.00,114692.0,12/9/2022,Legacy v3.0 Award,I will contribute to the open source StellarExpert directory to help protect users from questionable tokens and scam accounts,"The first product: Improvement and expansion of the open Database used by Stellar Expert to flag verified questionable domains that is based on accurate and verified data collection.

The problem it solves: Many new Stellar Blockchain users are deceived by outright scams illegally imitating names, brands, logos, trademarks, etc. Since the blockchain cannot be modified to stop future such activities, it is up to third-party services to help users, the community, and ecosystem applications get accurate information when evaluating token projects.

How it will work: The Database parameters will be open source and will continue to let Stellar.Expert be the best SDEX explorer for any Stellar Blockchain user, community member, or ecosystem application. Only verifiable data from TOML files, URL data, minted token info, etc. will be used. Any contact from the legal asset creator will be indicated.

The second product: New data will be regularly entered in the Open Source Database.

The problem it solves: This will help users, the community, and ecosystem applications save hundreds of hours searching for this information to help make better-informed decisions. This will help make the Stellar community feel safer using the Stellar Blockchain.

How it will work: Input from users and manual investigating will be used on a continual basis to make regular updates to the Open Source Database.",,,https://docs.google.com/spreadsheets/d/1JCkWZ3X1h6kJKM6ZCZThDshK_whhNiTyGTV8R24Anho/edit?usp=sharing,,https://youtu.be/CzSPI50HSoU,,,,,,,"Rob, Rob ",,,,,
Zig3v2,SCF #11,Zig3v2,Zig3v2,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/recZ1SF2QkpUgMr2U,Awarded,,SCF Legacy Award,$2500.00,$2500.00,28673.0,12/12/2022,Legacy v3.0 Award,"Easy, Fast & Secure Stellar Biometric Account Creation, Storage and Signing wallet protocol","The Zig3v2 project has clear objectives in mind: Reduce cognitive complexity to enter the Stellar ecosystem by providing a secure way to create accounts, sign for Stellar transactions, all with a touch of the thumb or a snapshot of the face via biometrics, without having to install a browser extension or download an app. We believe this facility for the Stellar community would be great for low-value transactions and a move to a new Decentralised Standard.

Create a wallet to provide the easiest way to create accounts, sign transactions, and store keys securely on users' devices to ensure decentralisation. Ensure the wallet incorporates multiple login/signing popular options such as Albedo, Freighter, Rabet, Ledger, and Trezor. Provide Sep24 payment flows to ensure Stellar Anchor interoperability. Allow simple send and receive features within the wallet session time. Integrate Stellar swap functionality such as those features in the Albedo, LumenSwap, and Xbull wallet.

The Problem: To use the Stellar network, a user needs to create an account on Stellar, fund it via buying XLM to activate it. Then there are three main choices: Install a browser extension, use their private key directly on the website where they wish to spend their assets, or use a hard cold storage type wallet.

Numerous people will find this off-putting due to the cost of a hard cold storage wallet. Simply because those people doing so, many find the concept of installing a browser extension can be annoying or even in some cases too complex. Most users would find this user experience to be too time-consuming and overly challenging. It’s a time-consuming and laborious task that can lead to users like mum and dad or even Granny and Grandad excluding themselves from the Stellar experience.

In any case, “Enter your password to complete this login” is well understood by most. The only way to implement this login otherwise today is to use the private key directly on the website that generates the transaction, but users can’t be certain of what the website will actually do with their private keys.

Storing users' keys securely on their own devices. Enabling users to access their keys for login or signing with finger or face biometrics. Ensuring users don’t even need to copy-paste keys, potentially losing them by accident. And utilizing The Simple Sign open-source widget for complete online protection.",,,https://zig3.io,,https://youtu.be/ebJaIiO206w,,,,,,,Nathaniel Denny,,,,,
Spacewalk,SCF #11,Spacewalk,Spacewalk,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/recY3x0bUhYwPUUSY,Awarded,,SCF Legacy Award,$100000.00,$100000.00,1146920.0,12/9/2022,Legacy v3.0 Award,The first bridge to Polkadot: giving Stellar users more access to the DeFi world,"Bridge to Polkadot

Spacewalk is the first bridge between the Stellar network and the Polkadot ecosystem. Bridging to one of the most popular Web3 ecosystems gives Stellar users more access to DeFi opportunities. Based on already tested infrastructure (XCLAIM and interBTC), Spacewalk is implemented as a Substrate (the blockchain framework on which Polkadot is built) pallet and allows any Substrate-based blockchain to implement a direct Stellar bridge.

Stellar Oracle

A key component of the bridge is the Stellar oracle, which relays the state of the Stellar network to external services (like a bridge). The Stellar oracle is decentralized and by design at least as secure as the Stellar network itself. While this oracle is developed with Spacewalk in mind, it can be used by other bridge services. By giving this oracle to the Stellar community, we hope to see more bridges being built to connect Stellar with the broader DeFi/Web3 world.",,,https://pendulumchain.org/,https://github.com/pendulum-chain/spacewalk,https://www.youtube.com/watch?v=SOAVV0dEN10,,,,,,,"Erasmus Hagen, Erasmus Hagen",,,,,
