Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Scout,SCF #23,Scout - BugFighter for Soroban,Scout,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recPOG1QJ1ggXcygp,Awarded,,SCF Legacy Award,$100000.00,$100000.00,881593.2,2/14/2024,Legacy v5.0 Community Award,"We will take Scout to the next step, to further aid developers and auditors in enhancing Soroban smart contracts security.",,,,https://www.coinfabrik.com/products/scout/ ,https://github.com/CoinFabrik/scout-soroban,https://drive.google.com/file/d/1xHL6sH5aOrXtoJzGcMnD6iMtV0Bm2ETO/view ,,,,,,,Valeria Caracciolo,,https://ar.linkedin.com/company/coinfabrik,https://twitter.com/coinfabrik,,
Sanctum,SCF #23,Soroban contracts with secrets,Sanctum,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recdGy1JdPi0qtRpj,Awarded,,SCF Legacy Award,$50000.00,$50000.00,456675.2,1/31/2024,Legacy v5.0 Activation Award,"We are building ZK+MPC tech to enable smart contracts to compute on secret state, thus bringing privacy to the Stellar apps.",,,,https://github.com/zkbricks/mpc-zexe/,https://github.com/zkbricks/mpc-zexe/,https://docs.google.com/document/d/1CnbgS9OyO8AHMso4tehe5qs8izMh08Eyju81HyCetcM/,,,,,,,Rohit Sinha,,,,,
Solidity Contracts on Soroban,SCF #23,Solidity Contracts on Soroban II,Solidity Contracts on Soroban,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recKGeG7HDjxMYAaM,Awarded,,SCF Legacy Award,$17000.00,$17000.00,158533.3,2/7/2024,Legacy v5.0 Community Award,"This project aims to allow writing Soroban smart contracts in Solidity, by integrating Soroban as a compilation target for Solang.",,,,https://github.com/hyperledger/solang,https://github.com/hyperledger/solang,https://youtu.be/QUwnRkOhRok,,,,,,,Salaheldin Soliman,,,,,
Styx: A Soroban-Cosmos Bridge,SCF #23,Styx: A Soroban-Cosmos Bridge,Styx: A Soroban-Cosmos Bridge,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/reci8OPZVGDgt0ojE,Awarded,,SCF Legacy Award,$43000.00,$43000.00,396638.7,2/5/2024,Legacy v5.0 Activation Award,A mint/burn bridge connecting Soroban to Cosmos and the larger Blockchain ecosystem.,,,,https://www.figma.com/file/MCNoYBwA8wSAx0Qu4lIB1W/Styx-Design?type=design&node-id=0%3A1&mode=design&t=eQKAcKpzSPhTbLLR-1,,https://youtu.be/2i6xIBd5aiI,,,,,,,"Jaylem Brar, Kaan Ulupinar",,,,,
Soroban Explorer,SCF #23,Soroban Explorer II,Soroban Explorer,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/rec85RVkmAjDXl8T5,Awarded,,SCF Legacy Award,$100000.00,$100000.00,905702.8,2/13/2024,Legacy v5.0 Community Award,"Enable users to verify smart contracts by compiling the underlying code, helping avoid malicious contracts &amp; actors.",,,,https://www.sorobanexp.com/,https://github.com/sorobanexp/explorer,https://drive.google.com/file/d/1L0v8skd_7eBzKVXCVD1IysGw-VxkGkcd/view?usp=sharing,,,,,,,"Ignacio Garcia Leon, Michal Fiuk, Xun Wu",,,,,
AnChain.AI,SCF #23,AnChain.AI Web3SOC completion,AnChain.AI,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recJS3CwdA4WWlQZx,Awarded,,SCF Legacy Award,$95000.00,$95000.00,712250.71,3/21/2024,Legacy v5.0 Community Award,Web3SOC is a security operations center (SOC) designed to safeguard digital assets and smart contract-based applications.,,,,https://web3soc.anchainai.com/,,"https://youtu.be/ssOgcER4PdE, https://youtu.be/k8-bD8_cKZQ",,,,,,,"Christian Nunez, Francesco Piccoli",,https://www.linkedin.com/company/anchainai/,https://twitter.com/AnChainAI,,
Formal VerSo,SCF #23,Formal VerSo - Phase 1,Formal VerSo,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recY8VYgnjVw1jIBz,Awarded,,SCF Legacy Award,$99825.00,$99825.00,920801.4,2/5/2024,Legacy v5.0 Community Award,A semi-automated tool for Formal Verification of Soroban contracts using the Software Analysis Workbench.,,,,https://github.com/GaloisInc/formal-verso,https://github.com/GaloisInc/formal-verso,https://www.youtube.com/watch?v=AMzp4cGveXc,,,,,,,Vanessa Aguilar,,,,,
Rise In,SCF #23,Rise In - Developer Growth,Rise In,Education & Community,https://communityfund.stellar.org/dashboard/submissions/rec5xQJ2j8188Qcj9,Awarded,,SCF Legacy Award,$50000.00,$50000.00,435236.76,1/30/2024,Legacy v5.0 Activation Award,Unlocking developer growth globally with online courses on Risein.com &amp; IRL events (incl. community meet-ups and hackathons).,,,,risein.com,,https://www.youtube.com/watch?v=NZmrbrkmE_Q,,,,,,,"Ankit Raj, Kaan Kaçar, Tim Hodgson",,https://www.linkedin.com/school/risein/,https://x.com/riseinweb3,https://discord.com/invite/RQcmHrTJGc,
EasyA,SCF #23,EasyA - #60DaysOfSoroban,EasyA,Education & Community,https://communityfund.stellar.org/dashboard/submissions/recTQdI9l50TRAYin,Awarded,,SCF Legacy Award,$95000.00,$95000.00,818119.2,2/26/2024,Legacy v5.0 Community Award,"EasyA builds on the huge success of its #SummerOfSoroban to educate a further 2,000 developers on Soroban in the run-up to mainnet",,,,https://www.easya.io,,https://youtu.be/4Rna_L-HS6I,,,,,,,"Phil Kwok, Dom Kwok",,https://www.linkedin.com/company/30108824/,https://twitter.com/EasyA_App,,
BiGGER - Startup Camp 2.0,SCF #23,Startup Camp 2.0,BiGGER - Startup Camp 2.0,Education & Community,https://communityfund.stellar.org/dashboard/submissions/recLcRUIYogQT6DHs,Awarded,,SCF Legacy Award,$50000.00,$50000.00,461207.8,2/5/2024,Legacy v5.0 Activation Award,Relaunching the Stellar Startup Camp to make it self-serve and replicable globally.,,,,https://www.figma.com/file/oUN8gcL7860l3th8JMiS7g/ScaleMote-Design-Sprint---Redefinition-2?type=whiteboard&node-id=0-1,,https://www.youtube.com/watch?v=P_C1-tBpLAI,,,,,,,Fabricio Leonardo Sodano Pascazi,,,,,
Zentra,SCF #23,Tide Stream Payment,Zentra,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/recTmMM8Qbio6zNHx,Awarded,,SCF Legacy Award,$18200.00,$18200.00,166229.8,1/31/2024,Legacy v5.0 Activation Award,We are building a payment streaming app on Soroban to allow users to make payments over a fixed period of time.,,,,https://tide-soroban-contract-frontend.vercel.app/,https://github.com/TosinShada/tide-streaming,https://youtu.be/7Uuw-FQMa4I,,,,,,,Okporka Hillary,,,,,
Eascrow,SCF #23,Eascrow,Eascrow,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/rec5SQUCL0doQ1r5M,Awarded,,SCF Legacy Award,$48900.00,$48900.00,425661.55,1/30/2024,Legacy v5.0 Activation Award,"Eascrow utilizes Soroban for secure, cost-efficient web3 escrow, ensuring swift, fraud-free payments for goods and freelancers.",,,,https://eascrow.webflow.io/,,https://youtu.be/br3yTDLNOX0,,,,,,,"Antoine Lieber, Antoine Lieber",,,,,
Allbridge Core,SCF #23,Allbridge Core II,Allbridge Core,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/recKNLK0K1U0wTGlU,Awarded,,SCF Legacy Award,$100000.00,$100000.00,932548.7,2/7/2024,Legacy v5.0 Community Award,Allbridge Core enables users to seamlessly access the Stellar ecosystem through native stablecoin swaps,,,,https://allbridge.io/,https://github.com/allbridge-io,https://youtu.be/OC5s990JhL8,,,,,,,"Pavlo Velykyi, Andriy Velykyi",,,,,
Aquarius,SCF #23,Aquarius AMM Launch on Soroban,Aquarius,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/recmDHN0X0EQoxVWw,Awarded,,SCF Legacy Award,$94000.00,$94000.00,876595.8,2/7/2024,Legacy v5.0 Community Award,Aquarius is looking to finalise the integration of smart contracts and upgrade user interfaces for AMMs launch on Soroban.,,,,https://aqua.network/,https://github.com/AquaToken,https://www.youtube.com/watch?v=RMtEKc106pw,,,,,,,Jason Cudmore,,,https://twitter.com/aqua_token,https://discord.gg/sgzFscHp4C,
Mykobo,SCF #23,Circle EURC Ramps,Mykobo,Financial Protocols,https://communityfund.stellar.org/dashboard/submissions/recC3UjMDACs8QAc5,Awarded,,SCF Legacy Award,$50000.00,$50000.00,449149.93,1/24/2024,Legacy v5.0 Community Award,Providing on and off ramps for Circle EURC on Stellar so users can deposit EUR for Circle EURC and withdraw Circle EURC for EUR.,,,,https://anchor.mykobo.co/sep24/info,,https://drive.google.com/file/d/1C6MOJ6bS5tAP17fN5OEApXaJfQP9GfqC/view,,,,,,,"Jordan Harry, iamthemandarin , Oluwaseyi Akin-Olugbemi ",,https://www.linkedin.com/company/myk0b0,https://twitter.com/myk0b0,https://discord.gg/6ByPsKGFWR,
